from,to,relationship
CocaCola,5by20,4
CocaCola,The last mile,4
CocaCola,RED,1
CocaCola,RespAct,1
CocaCola,Ekocenter,4
CocaCola,Unified Laufgruppen,4
CocaCola,American Red Cross,1
CocaCola,ENGINE,4
CocaCola,Lazos de Agua,4
CocaCola,RE100,2
CocaCola,The Coca Cola Foundation,4
CocaCola,ISCC,2
CocaCola,The Consumer Goods Forum,2
CocaCola,The Consumer Goods Forum,3
CocaCola,IFBA,4
CocaCola,IFBA,3
CocaCola,ILSI,4
CocaCola,ICBA,2
CocaCola,Conmexico,2
CocaCola,24 7 GATEWAY LL,1
CocaCola,Agnes Scott College,1
CocaCola,American National Red Cross,1
CocaCola,Anacostia Watershed Society,1
CocaCola,Perspective,1
CocaCola,Atlanta Ballet Incorporated,1
CocaCola,Atlanta Beltline Partnership,1
CocaCola,Atlanta Police Foundation,1
CocaCola,Atlanta Botanical Garden,1
CocaCola,Atlanta Womens Foundation,1
CocaCola,Back on My Feet,1
CocaCola,Bal Raksha Bharat,1
CocaCola,Clinton Foundation,1
CocaCola,Boys and Girls Club of Metro Atlanta,1
CocaCola,Childrens Healthcare of Atlanta,1
CocaCola,Clark Atlanta University,1
CocaCola,Clayton State University Foundation,1
CocaCola,EARTH University Foundation,1
CocaCola,Emergency Assistance Foundation,1
CocaCola,Fundacion cimientos,1
CocaCola,Georgia State University Foundation,1
CocaCola,Global Impact,1
CocaCola,Holy Innocents Episcopal School,1
CocaCola,Hosea Feed The Hungry and Homeless,1
CocaCola,Kennesaw State University Foundation,1
CocaCola,Latin American Association,1
CocaCola,Literacy Action,1
CocaCola,MJCCA,1
CocaCola,Marist School ,1
CocaCola,Maynard Jackson Youth Foundation,1
CocaCola,Mercy Care Foundation,1
CocaCola,Morehouse College,1
CocaCola,National Organization on Disability,1
CocaCola,New American Pathways,1
CocaCola,Ocean Conservancy,1
CocaCola,Oglethorpe University,1
CocaCola,Park Pride Atlanta,1
CocaCola,Piedmont Park Conservancy,1
CocaCola,Rails to Trails Conservancy,1
CocaCola,Robert W Woodruff Arts Center,1
CocaCola,Ron Clarc Academy,1
CocaCola,Special Olympics Georgia,1
CocaCola,Spelman College,1
CocaCola,Ellis Island Foundation,1
CocaCola,Team Rubicon,1
CocaCola,The Executive Leadership Council,1
CocaCola,The Recycling Partnership,1
